"","name","date","hits","geo"
"244","cory booker",2019-02-24,17,"US-PA"
"245","cory booker",2019-03-03,10,"US-PA"
"246","cory booker",2019-03-10,34,"US-PA"
"247","cory booker",2019-03-17,28,"US-PA"
"248","cory booker",2019-03-24,26,"US-PA"
"249","cory booker",2019-03-31,13,"US-PA"
"250","cory booker",2019-04-07,17,"US-PA"
"251","cory booker",2019-04-14,15,"US-PA"
"252","cory booker",2019-04-21,11,"US-PA"
"253","cory booker",2019-04-28,12,"US-PA"
"254","cory booker",2019-05-05,12,"US-PA"
"255","cory booker",2019-05-12,14,"US-PA"
"256","cory booker",2019-05-19,7,"US-PA"
"257","cory booker",2019-05-26,4,"US-PA"
"258","cory booker",2019-06-02,6,"US-PA"
"259","cory booker",2019-06-09,8,"US-PA"
"260","cory booker",2019-06-16,15,"US-PA"
"261","cory booker",2019-06-23,82,"US-PA"
"262","cory booker",2019-06-30,17,"US-PA"
"263","cory booker",2019-07-07,8,"US-PA"
"264","cory booker",2019-07-14,5,"US-PA"
"265","cory booker",2019-07-21,17,"US-PA"
"266","cory booker",2019-07-28,75,"US-PA"
"267","cory booker",2019-08-04,19,"US-PA"
"268","cory booker",2019-08-11,9,"US-PA"
"269","cory booker",2019-08-18,7,"US-PA"
"270","cory booker",2019-08-25,4,"US-PA"
"271","cory booker",2019-09-01,9,"US-PA"
"272","cory booker",2019-09-08,36,"US-PA"
"273","cory booker",2019-09-15,15,"US-PA"
"274","cory booker",2019-09-22,12,"US-PA"
"275","cory booker",2019-09-29,11,"US-PA"
"276","cory booker",2019-10-06,8,"US-PA"
"277","cory booker",2019-10-13,25,"US-PA"
"278","cory booker",2019-10-20,13,"US-PA"
"279","cory booker",2019-10-27,11,"US-PA"
"280","cory booker",2019-11-03,8,"US-PA"
"281","cory booker",2019-02-03,100,"US-IA"
"282","cory booker",2019-02-10,44,"US-IA"
"283","cory booker",2019-02-17,30,"US-IA"
"284","cory booker",2019-02-24,12,"US-IA"
